ທະວີບອາຟະລິກ	Африка
ໝວດ:ແນວປະຕິບັດວິກິພີເດຍ	Категория:Википедия:Руководства
ວິກິພີເດຍ:ກ່ອງຜູ້ໃຊ້	Википедия:Юзербоксы
ຊໂງ ໃຈ-ກກິ	Сон Джэги
ທຸລະກິດ	Предпринимательство
ແມ່ແບບ:Softredirect	Шаблон:Soft redirect
ແມ່ແບບ:ລຶບ	Шаблон:К быстрому удалению
ໝວດ:ພາສາ: ເຕັກໂນໂລຊີ	Категория:Технология
ສວນເສືອສີລາຊາ	Тигровый зоопарк Сирача
ໝວດ:ພັນທຸສາດ	Категория:Генетика
ໝວດ:ພາສາ	Категория:Языки
ໝວດ:ໄວຍາກອນ	Категория:Грамматика
ໝວດ:ປະຕິທິນ	Категория:Календарь
ໝວດ:ວິກິພີເດຍ	Категория:Википедия
ວິກິພີເດຍ:ຂໍ້ປະຕິເສດຄວາມຮັບຜິດຊອບ	Википедия:Отказ от ответственности
ໝວດ:Pages with broken file links	Категория:Страницы со ссылками на отсутствующие файлы
ແມ່ແບບ:Navbox	Шаблон:Navbox
ໜູຖົງ	Кенгуру
ໝວດ:ພາສາໝາຍ	Категория:Языки разметки
ໝວດ:ການບຳລຸງຮັກສາວິກິພີເດຍ	Категория:Википедия:Статьи для улучшения
ໝວດ:ຄອມພິວເຕີ	Категория:Цифровые вычисления
ໝວດ:ແມ່ແບບທຸງ	Категория:Шаблоны:Флаги
ແມ່ແບບ:!-	Шаблон:!-
ແມ່ແບບ:Tnavbar	Шаблон:Tnavbar
ແມ່ແບບ:Fontie	Шаблон:Unicode
ແມ່ແບບ:Clear	Шаблон:Clear
ແມ່ແບບ:Col-begin	Шаблон:Столбцы
ແມ່ແບບ:Col-end	Шаблон:Столбцы/конец
ໝວດ:ອາຟຣິກກາ	Категория:Африка
ໝວດ:ປຶ້ມ	Категория:Книги
ແມ່ແບບ:ບາເບລ	Шаблон:Babel
ແມ່ແບບ:Commons	Шаблон:Commons
ແມ່ແບບ:Reflist	Шаблон:Примечания
ວິກິພີເດຍ:ການອ້າງອີງແຫຼ່ງທີ່ມາ	Википедия:Ссылки на источники
ວິກິພີເດຍ:ຊອກຫາ	Википедия:Поиск
ແມ່ແບບ:Stub	Шаблон:Заготовка
ແມ່ແບບ:User eo-1	Шаблон:User eo-1
ແມ່ແບບ:User de	Шаблон:User de
ແມ່ແບບ:User de-1	Шаблон:User de-1
ແມ່ແບບ:User es	Шаблон:User es
ແມ່ແບບ:User de-3	Шаблон:User de-3
ແມ່ແບບ:User en-3	Шаблон:User en-3
ແມ່ແບບ:User en-1	Шаблон:User en-1
ແມ່ແບບ:User en-2	Шаблон:User en-2
ແມ່ແບບ:User en-4	Шаблон:User en-4
ແມ່ແບບ:User en	Шаблон:User en
ແມ່ແບບ:User de-2	Шаблон:User de-2
ແມ່ແບບ:User fr-1	Шаблон:User fr-1
ແມ່ແບບ:User ja-4	Шаблон:User ja-4
ແມ່ແບບ:User ja	Шаблон:User ja
ແມ່ແບບ:User ja-1	Шаблон:User ja-1
ແມ່ແບບ:User fr	Шаблон:User fr
ໝວດ:ອາຊີ	Категория:Азия
ແມ່ແບບ:Esoteric	Шаблон:Эзотерика
ໝວດ:ປະເທດມາເລເຊຍ	Категория:Малайзия
ແມ່ແບບ:Lang-ja	Шаблон:Lang-ja
ແມ່ແບບ:Mod	Шаблон:Mod
ແມ່ແບບ:User es-2	Шаблон:User es-2
ແມ່ແບບ:ຍິນດີຕ້ອນຮັບ	Шаблон:Приветствие
ແມ່ແບບ:Sisterprojects	Шаблон:Сообщество Википедии
ໝວດ:ດວງຈັນ	Категория:Луна
ແມ່ແບບ:USA	Шаблон:USA
ແມ່ແບບ:Country data Thailand	Шаблон:Флагификация/Таиланд
ແມ່ແບບ:Country data Indonesia	Шаблон:Флагификация/Индонезия
ແມ່ແບບ:Country data Cambodia	Шаблон:Флагификация/Камбоджа
ໝວດ:ພາສາສາດ	Категория:Лингвистика
ແມ່ແບບ:Wikiatlas	Шаблон:Wikiatlas
ໝວດ:User fr-1	Категория:User fr-1
ແມ່ແບບ:Image label	Шаблон:Метка изображения
ແມ່ແບບ:Country data Brunei	Шаблон:Флагификация/Бруней
ໝວດ:ແມວ	Категория:Кошки
ໝວດ:ນາຊີ	Категория:Нацисты
ແມ່ແບບ:Sidebar	Шаблон:Боковая навигационная таблица
ແມ່ແບບ:Country data France	Шаблон:Флагификация/Франция
ແມ່ແບບ:ປັບປຸງການອ້າງອີງ	Шаблон:Refimprove
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ລຸ່ມ	Участник:Box/Конец колонки
ແມ່ແບບ:ຂໍ້ມູນປະເທດ	Шаблон:Государство
ແມ່ແບບ:Country data Laos	Шаблон:Флагификация/Лаос
ແມ່ແບບ:Px	Шаблон:Px
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ເທິງ	Участник:Box
ແມ່ແບບ:Infobox Political party	Шаблон:Партия
ແມ່ແບບ:ກ່ອງຂ້ໍມູນ ປະຊາຄົມອາຊຽນ	Шаблон:Навигационная таблица с колонками
ແມ່ແບບ:ກ່ອງຂໍ້ມູນ ນັກມວຢ	Шаблон:Боксёр
ແມ່ແບບ:Infobox ບໍລິສັດ	Шаблон:Карточка компании
ແມ່ແບບ:Country data Vietnam	Шаблон:Флагификация/Вьетнам
ແມ່ແບບ:ປ້າຍບົດຄວາມດີເດັ່ນ	Шаблон:Избранная статья
ໝວດ:ປາລີ	Категория:Париж
ໝວດ:User en	Категория:User en
ໝວດ:User zh	Категория:User zh
ໝວດ:User en-2	Категория:User en-2
ແມ່ແບບ:Infobox	Шаблон:Карточка
ແມ່ແບບ:User zh	Шаблон:User zh
ໝວດ:ອັກສອນ	Категория:Алфавиты
ແມ່ແບບ:Navbox/core	Шаблон:Navbox/core
ແມ່ແບບ:Template other	Шаблон:Template other
ໝວດ:ພາສາ: ບິນ	Категория:Авиация
ໝວດ:ຄຳແລະວະລີ	Категория:Слова и выражения
ໝວດ:ອາຫານແລະເຄື່ອງດື່ມ	Категория:Еда и напитки
ແມ່ແບບ:Pp-template	MediaWiki:Protectedpagetext
ແມ່ແບບ:Infobox City Poland	Шаблон:НП-Польша
ແມ່ແບບ:ວິກິວັດຈະນານຸກົມ	Шаблон:Викисловарь
ແມ່ແບບ:Languageicon	Шаблон:Ref-lang
ແມ່ແບບ:Babel-4	Шаблон:Babel-4
ແມ່ແບບ:User ru	Шаблон:User ru
ໝວດ:ອະເມລິກາ	Категория:Америка
ໝວດ:ເຂົ້າຈີ່	Категория:Хлеб
ແມ່ແບບ:ກັບສາງ	Шаблон:Архив
ແມ່ແບບ:Sisterlinks	Шаблон:Навигация
ແມ່ແບບ:Border	Шаблон:Граница
ແມ່ແບບ:Fmbox	Шаблон:Fmbox
ໝວດ:ພາສາທະຫານ	Категория:Вооружённые силы
ແມ່ແບບ:Country data Philippines	Шаблон:Флагификация/Филиппины
ແມ່ແບບ:Country data Malaysia	Шаблон:Флагификация/Малайзия
ແມ່ແບບ:Country data Myanmar	Шаблон:Флагификация/Мьянма
ແມ່ແບບ:Increase	Шаблон:Рост
ແມ່ແບບ:Image label end	Шаблон:Image label end
ແມ່ແບບ:CAN	Шаблон:CAN
ໝວດ:ຄຳສັບ	Категория:Лексика
ແມ່ແບບ:Lang-my	Шаблон:Lang-my
ໝວດ:ຄຳ	Категория:Статьи о словах
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ຄັ່ນ	Участник:Box/Разрыв колонки
ໝວດ:ແຫຼ່ງນ້ຳ	Категория:Водоёмы
ແມ່ແບບ:ຕ້ອງການອ້າງອີງ	Шаблон:Нет ссылок
ໝວດ:ສະໜາມບິນໃນຫວຽດນາມ	Категория:Аэропорты Вьетнама
ແມ່ແບບ:Image label small	Шаблон:Image label small
ໝວດ:ພະມະຫາກະສັດອັງກິດ	Категория:Короли Англии
ໝວດ:ສານອາຫານ	Категория:Питательные вещества
ແມ່ແບບ:SUL Box	Участник:Box/Пользователь SUL
ໝວດ:ໂທລະສັບມືຖື	Категория:Сотовые телефоны
ໝວດ:ພາສາ: ເຮືອບິນທະຫານ	Категория:Военные самолёты
ແມ່ແບບ:Lang-en	Шаблон:Lang-en
ໝວດ:ເນີຍແຂງ	Категория:Сыры
ແມ່ແບບ:UK	Шаблон:GBR
ໝວດ:ສະຖາປັດຕະຍະກຳ	Категория:Архитектура
ໝວດ:ລົດໄຟ	Категория:Железнодорожный транспорт
ແມ່ແບບ:Interwiki	Шаблон:Языковой раздел
ແມ່ແບບ:MainPageInterwikis	Шаблон:Интервики на заглавной
ໝວດ:ໂພຊະນາການ	Категория:Питание
ແມ່ແບບ:ບໍ່ເປັນກາງ	Шаблон:Проверить нейтральность
ແມ່ແບບ:Dmoz	Шаблон:Dmoz
ໝວດ:ເມືອງໃນແຂວງເກແບັກ	Категория:Города Квебека
ໝວດ:User eo	Категория:User eo
ໝວດ:User fr	Категория:User fr
ໝວດ:User ja	Категория:User ja
ໝວດ:User th	Категория:User th
ໝວດ:User ja-2	Категория:User ja-2
ໝວດ:User fr-N	Категория:User fr-N
ໝວດ:ແມ່ນ້ຳອາມາຊົນ	Категория:Амазонка
ໝວດ:ແຂວງກວາງບິນ	Категория:Куангбинь
ໝວດ:User en-3	Категория:User en-3
ໝວດ:User en-N	Категория:User en-N
ໝວດ:User eo-1	Категория:User eo-1
ໝວດ:User es	Категория:User es
ແມ່ແບບ:EU	Шаблон:Евросоюз
ໝວດ:User es-2	Категория:User es-2
ໝວດ:User es-3	Категория:User es-3
ນິກາຍອັງກະລິກັງ	Англиканство
ແມ່ແບບ:Country data United Kingdom	Шаблон:Флагификация/Великобритания
ແມ່ແບບ:Cite encyclopedia	Шаблон:Cite encyclopedia
ໝວດ:ເວັບໄຊຕ໌	Категория:Сайты
ໝວດ:User ko	Категория:User ko
ໝວດ:User ko-1	Категория:User ko-1
ໝວດ:ຫົວໜ່ວຍການປົກຄອງ	Категория:Административное деление
ໝວດ:ພາສາວັນນະຍຸດ	Категория:Тоновые языки
ໝວດ:ເມືອງໃນປະເທດຝະລັ່ງ	Категория:Города Франции
ໝວດ:ວັນນະຄະດີເດັກນ້ອຍ	Категория:Детская литература
ແມ່ແບບ:ພາສາທາງການຂອງສະຫະປະຊາຊາດ	Шаблон:Официальные языки ООН
ໝວດ:ອຸບປະກອນເຂົ້າອອກ	Категория:Устройства ввода
ແມ່ແບບ:ຮູບຫຼາຍແຈ	Шаблон:Многоугольники
ໝວດ:ທະເລ	Категория:Моря
ໝວດ:ປະເທດອັງກິດ	Категория:Англия
ໝວດ:ນັກສະແດງແບ່ງຕາມສັນຊາດ	Категория:Актёры по странам
ໝວດ:ລະບົບສຸລິຍະ	Категория:Солнечная система
ແມ່ແບບ:ຮູບແບບແຫ່ງລັດ	Шаблон:Формы правления
ໝວດ:ອຸດສາຫະກຳ	Категория:Промышленность
ໝວດ:ນ້ຳ	Категория:Вода
ໝວດ:ສັດກິນຊີ້ນ	Категория:Хищные
ໝວດ:ແຂວງ	Категория:Провинции Лаоса
ໝວດ:ຟີລຳ	Категория:Типы и отделы
ໝວດ:ເຮລີກົບແຕ	Категория:Вертолёты
ໝວດ:ນາຍົກລັດຖະມົນຕີ	Категория:Премьер-министры
ໝວດ:ນັກຮ້ອງການາດາ	Категория:Певцы и певицы Канады
ແມ່ແບບ:User cs	Шаблон:User cs
ແມ່ແບບ:User es-3	Шаблон:User es-3
ໝວດ:User ru	Категория:User ru
ໝວດ:User ru-3	Категория:User ru-3
ໝວດ:User th-N	Категория:User th-N
ແມ່ແບບ:Lang	Шаблон:Lang
ໝວດ:ສາຂາວິຊາວິທະຍາສາດ	Категория:Науки по группам
ໝວດ:ຊາວພະມ້າ	Категория:Персоналии:Мьянма
ໝວດ:ມະນຸດ	Категория:Человек
ໝວດ:ພາສາ: ບົດຄວາມ	Категория:Статьи
ແມ່ແບບ:ບົດຄວາມຫຼັກ	Шаблон:Main
ໝວດ:ວັນນະຄະດີແບ່ງຕາມປະເພດ	Категория:Литературные произведения по жанрам
ແມ່ແບບ:ໃຜກ່າວ	Шаблон:Кто
ໝວດ:ວົງເສືອແລະແມວ	Категория:Кошачьи
ໝວດ:ແມ່ນ້ຳແບ່ງຕາມປະເທດ	Категория:Реки по странам
ໝວດ:ສະກຸນເງິນ	Категория:Валюты
ໝວດ:ແມ່ນ້ຳ	Категория:Реки
ໝວດ:ແມ່ນ້ຳໃນປະເທດບະເລຊິນ	Категория:Реки Бразилии
ໝວດ:ແມ່ນ້ຳໃນປະເທດເປລູ	Категория:Реки Перу
ໝວດ:ນັກຮ້ອງແບ່ງຕາມສັນຊາດ	Категория:Певцы и певицы по странам
ໝວດ:ນ້ຳມັນ	Категория:Масла
ໝວດ:User zh-1	Категория:User zh-1
ໝວດ:User zh-3	Категория:User zh-3
ໝວດ:ພະມະຫາກະສັດໄທ	Категория:Короли Таиланда
ໝວດ:ຊັບສິນທາງປັນຍາ	Категория:Право интеллектуальной собственности
ໝວດ:ນັກສະແດງຈີນ	Категория:Актёры Китая
ໝວດ:ນັກສະແດງໄທ	Категория:Актёры Таиланда
ໝວດ:ນາຍົກລັດຖະມົນຕີເຢຍລະມັນ	Категория:Главы правительств Германии
ໝວດ:ປະທານປະເທດລາວ	Категория:Президенты Лаоса
ໝວດ:ຈັງຫວັດໃນປະເທດໄທ	Категория:Провинции Таиланда
ໝວດ:ຊາວໄທ	Категория:Персоналии:Таиланд
ໝວດ:ນັກຮ້ອງຈີນ	Категория:Певцы и певицы Китая
ໝວດ:ນິກາຍໃນສາສະໜາຄິດ	Категория:Христианские конфессии
ໝວດ:ມໍລະດົກໂລກແບ່ງຕາມປະເທດ	Категория:Всемирное наследие по странам
ໝວດ:ແມ່ນ້ຳໃນປະເທດໂກລົມບີ	Категория:Реки Колумбии
ໝວດ:ປະເທດລາວ	Категория:Лаос
ໝວດ:ຜັກ	Категория:Овощи
ໝວດ:ໝາກໄມ້	Категория:Фрукты
ໝວດ:ພາສາໃນປະເທດລາວ	Категория:Языки Лаоса
ໝວດ:ພາສາຄອມພິວເຕີ	Категория:Компьютерные языки
ໝວດ:ພາສາລາວ	Категория:Лаосский язык
ໝວດ:ພາສາລາແຕັງ	Категория:Латинский язык
ໝວດ:ມໍລະດົກໂລກໃນປະເທດຝະລັ່ງ	Категория:Всемирное наследие во Франции
ໝວດ:ມະຫາສະໝຸດ	Категория:Океаны
ໝວດ:ມະນຸດສາດ	Категория:Антропология
ໝວດ:ລົດສະນິຍົມທາງເພດ	Категория:Сексуальная ориентация
ໝວດ:ລະບົບປະຕິບັດການ	Категория:Операционные системы
ໝວດ:ລະດູ	Категория:Времена года
ໝວດ:ແຮ່ທາດສາດ	Категория:Минералогия
ໝວດ:ວິວັດທະນາການ	Категория:Эволюция
ໝວດ:ສັດ	Категория:Животные
ໝວດ:ສັດທະສາດ	Категория:Фонетика
ໝວດ:ສະເຕໂລອິດ	Категория:Стероиды
ໝວດ:ອົງການລະຫວ່າງລັດຖະບານ	Категория:Международные межправительственные организации
ໝວດ:ປະໂລເຕອິນ	Категория:Белки
ໝວດ:ເຄື່ອງໝາຍວັກ	Категория:Пунктуация
ໝວດ:ເພງ	Категория:Песни
ໝວດ:ເພດສຶກສາ	Категория:Половое просвещение
ໝວດ:ນະຄອນຫຼວງ	Категория:Столицы государств
ໝວດ:ເມືອງໃນລາວ	Категория:Города Лаоса
ໝວດ:ເອດສ໌	Категория:ВИЧ-инфекция
ໝວດ:ອາຊີຕາເວັນອອກສຽງໃຕ້	Категория:Юго-Восточная Азия
ໝວດ:ໄດໂນເສົາ	Категория:Динозавры
ໝວດ:ກຸ່ມພາສາໂລມັງ	Категория:Романские языки
ໝວດ:ພາສາ: ການຂົນສົ່ງ	Категория:Транспорт
ໝວດ:ການຟ້ອນລຳ	Категория:Танец
ໝວດ:ກະລູຊິດ	Категория:Углеводы
ໝວດ:ປະເພດຄຳເວົ້າ	Категория:Части речи
ໝວດ:ນັກເສດຖະສາດ	Категория:Экономисты
ແມ່ແບບ:Flagcountry	Шаблон:Флагификация
ແມ່ແບບ:ກ່ອງຂໍ້ມູນ ພາສາ	Шаблон:Язык
ໝວດ:ພືດທີ່ກິນໄດ້	Категория:Пищевые растения
ໝວດ:ກາເຟ	Категория:Кофе
ໝວດ:ພາສາອິຕາລີ	Категория:Итальянский язык
ໝວດ:ພາສາແອສະປາໂຍນ	Категория:Испанский язык
ໝວດ:ພາສາໃນປະເທດໄທ	Категория:Языки Таиланда
ໝວດ:ແຊນ	Категория:Гены
ໝວດ:ຍານພາຫະນະ	Категория:Транспортные средства
ໝວດ:ລົດ	Категория:Автомобиль
ໝວດ:Tanks	Категория:Танки
ໝວດ:ພາສາໃນປະເທດຫວຽດນາມ	Категория:Языки Вьетнама
ໝວດ:ອາຫານຝະລັ່ງ	Категория:Французская кухня
ໝວດ:ເນີຍແຂງຝະລັ່ງ	Категория:Французские сыры
ໝວດ:ເນີຍແຂງຟ້າແກ່	Категория:Голубые сыры
ການບໍລິການ	Услуга
ໝວດ:ສະໄໝກາງ	Категория:Средние века
ແມ່ແບບ:Wikia	Шаблон:Wikia
ໝວດ:ສຸຂະພາບ	Категория:Здоровье
ແມ່ແບບ:Country data Quebec	Шаблон:Флагификация/Квебек
ແມ່ແບບ:Country data Singapore	Шаблон:Флагификация/Сингапур
ແມ່ແບບ:G8	Шаблон:G8
ແມ່ແບບ:User wa	Шаблон:User wa
ໝວດ:ເສດຖະສາດມະຫາພາກ	Категория:Макроэкономика
ໝວດ:ຄຳກຳມະ	Категория:Глагол
ໝວດ:ພາສາ:ສາຍການບິນ	Категория:Пассажирские самолёты
ໝວດ:ແຂວງເກແບັກ	Категория:Квебек
ໝວດ:ພາສາປືນໃຫຍ່	Категория:Артиллерия
ໝວດ:ຂົວ	Категория:Мосты
ໝວດ:ພາສາກາຕາລັງ	Категория:Каталанский язык
ສິດທິເດັກ	Права ребёнка
ໝວດ:ເອແດມບວກ	Категория:Эдинбург
ໝວດ:ຮາດແວ	Категория:Компьютерное аппаратное обеспечение
ໝວດ:ພະລັງງານ	Категория:Энергия
ໝວດ:ລິກຂະສິດ	Категория:Авторское право
ໝວດ:ພາສາຝະລັ່ງ	Категория:Французский язык
ໝວດ:ຫຼັກ້ຮົບ tanks	Категория:Основные боевые танки
ຊ່ວຍເຫຼືອ:ເຈ້ຍກ່າຍ	Википедия:Шпаргалка
ໝວດ:ເຮືອບິນຄູຝຶກທະຫານ	Категория:Учебные самолёты
ໝວດ:ຫຸ່ນຍົນສາດ	Категория:Робототехника
ໝວດ:ໂຣບົດ	Категория:Роботы
ໝວດ:ພາສາລູມານີ	Категория:Румынский язык
ໝວດ:ພາສາອົກຊີຕັງ	Категория:Окситанский язык
ໝວດ:ສັດມີແກນສັນຫຼັງ	Категория:Хордовые
ໝວດ:ເມືອງໃນປະເທດລາວ	Категория:Населённые пункты Лаоса
ໝວດ:ມົງເລອານ	Категория:Монреаль
ໝວດ:ໂທລະສັບ	Категория:Телефония
ໝວດ:ໜ່ວຍນັບເວລາ	Категория:Единицы измерения времени
ໝວດ:ວິທະຍາສາດປະຍຸກ	Категория:Прикладные науки
ໝວດ:ທາດ	Категория:Пагоды
ແມ່ແບບ:Image label begin	Шаблон:Image label begin
ໝວດ:ພາສາກໍາລັງທາງອາກາດ	Категория:Военно-воздушные силы
ໝວດ:ໂຣບົດທະຫານ	Категория:Боевые роботы
ໝວດ:User en-1	Категория:User en-1
ໝວດ:ນັກສະແດງອາເມລິກັນ	Категория:Актёры США
ໝວດ:ບົດຄວາມຕ້ອງຂະຫຍາຍ	Категория:Википедия:Статьи с незавершёнными разделами
ປະເທດໂມນດາວີ	Молдавское княжество
ແມ່ແບບ:Infobox file format	Шаблон:Файловый формат
ເຫດຍົນຕົກທີ່ປາກເຊ	Катастрофа ATR 72 под Паксе
ຮຳຊະ	Хамса (амулет)
ພິເສດ:ການດັດແກ້ຫຼ້າສຸດ	Служебная:Свежие правки
Module:Coordinates	Модуль:Coordinates
ສາຍການບິນມາເລເຊຍທຽ່ວບິນMH370	Рейс 370 Malaysia Airlines
ອຸປະຕິເຫດເຮືອເຊໂວລຫລົ່ມ	Крушение парома «Севоль»
